t-SNE 1,t-SNE 2,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,Kmeans,AgglomerativeClustering,Birch,BisectingKMeans,AffinityPropagation,HDBSCAN,SpectralClustering,DBSCAN
-41.540604,-32.13286,0,1,1,1,0,1,1,0,5,4,1,7,126,-1,0,-1
-48.983704,-5.4016786,0,0,1,1,1,0,1,0,5,5,1,7,13,106,0,-1
-47.670143,-5.1563573,1,1,1,1,1,0,1,1,6,5,1,7,13,106,0,-1
-47.734234,-5.113875,1,1,1,1,1,0,1,0,6,5,1,7,13,106,0,-1
-15.086128,-2.103532,0,0,1,1,0,0,0,0,2,1,0,6,116,-1,0,-1
-42.25426,-17.864443,0,0,1,1,0,0,0,0,5,5,1,7,13,-1,0,-1
-7.404987,-20.112473,0,0,1,1,0,0,0,0,4,1,0,7,129,153,0,-1
-47.68848,-5.7207265,1,0,1,1,0,1,1,0,6,5,1,7,13,106,0,-1
-41.902588,-32.645927,1,1,1,1,0,1,1,0,5,4,1,7,126,-1,0,-1
-57.390003,-3.9209802,0,1,1,1,0,1,1,0,6,5,1,7,99,-1,0,-1
-27.223846,-45.31541,1,1,1,1,0,0,1,0,4,1,0,2,17,6,0,-1
-34.18792,-17.985233,1,1,1,1,0,0,1,0,5,4,0,7,128,-1,0,-1
-23.190882,-49.264874,0,0,1,1,0,0,0,0,5,4,0,7,134,9,0,-1
-7.8397846,-48.66515,0,1,1,1,0,1,1,0,4,0,2,2,17,6,0,-1
-44.77051,-15.569322,0,1,1,1,1,0,0,0,6,5,1,7,13,-1,0,-1
-34.043762,-18.151089,0,0,1,0,0,0,0,0,5,4,0,7,128,-1,0,-1
-40.122833,-38.224598,1,1,1,1,0,0,1,0,5,4,1,7,147,-1,0,-1
-36.39939,-50.73083,0,1,1,1,0,0,0,0,5,4,1,7,79,41,0,-1
-40.119614,-38.24538,1,1,1,1,0,0,1,0,5,4,1,7,147,-1,0,-1
-30.631632,-20.912664,1,1,1,1,1,1,1,1,5,4,0,7,128,94,0,-1
-40.053715,-38.270706,1,1,1,1,1,0,1,0,5,4,1,7,147,-1,0,-1
-39.9808,-38.31987,1,1,1,1,0,1,1,1,5,4,1,7,147,-1,0,-1
-33.005676,-47.20667,0,1,0,1,0,0,1,0,5,4,1,7,127,42,0,-1
-40.7256,-16.523064,0,1,1,1,0,0,0,0,5,4,1,7,128,-1,0,-1
-18.290964,-0.13267581,0,0,1,1,0,1,1,0,2,2,0,6,100,146,0,-1
-41.182304,-17.520832,0,0,1,1,0,0,0,0,5,4,1,7,75,-1,0,-1
-8.925463,35.36008,1,0,1,1,0,0,1,0,5,3,0,7,175,105,0,-1
-58.441795,11.623305,0,1,1,1,0,1,1,0,6,5,1,5,92,107,0,-1
